LOADING_HINT_QUEST_0;Suggerimento: Ottieni {faeria|3} faeria all'inizio di ogni turno.
LOADING_HINT_QUEST_1;Suggerimento: Ciò che resta del tuo faeria verrà conservato per il prossimo turno.
LOADING_HINT_QUEST_2;Suggerimento: Le abilità sono spiegate in cima ad ogni carta.
LOADING_HINT_QUEST_3;Suggerimento: Crea terre vicino alla sfera nemica.
LOADING_HINT_QUEST_4;Suggerimento: Uccidi gli Spiritelli del Tormento prima che crescano.
LOADING_HINT_QUEST_5;Suggerimento: Ci sono 4 colori a Faeria. Ogni colore ha il suo specifico tipo di terra.
LOADING_HINT_QUEST_6;Suggerimento: Ruunin è l'antico e immortale guardiano della foresta.
LOADING_HINT_QUEST_7;Suggerimento: Le carte rosse usano il potere delle montagne ardenti.
LOADING_HINT_QUEST_8;Seifer ha inciso il suo nome nelle ceneri dei regni caduti.
LOADING_HINT_QUEST_9;Suggerimento: Le creature con balzo possono muoversi di al massimo due spazi verso qualsiasi direzione, saltando sopra ogni ostacolo.
LOADING_HINT_QUEST_10;Suggerimento: Crea terre per fermare i nemici acquatici
LOADING_HINT_QUEST_11;Suggerimento: Khalim è aggressivo. Difendi attentamente la tua sfera.
LOADING_HINT_QUEST_13;Quando era solo una bambina, la paura di Sharra divampò con il suo villaggio.
LOADING_HINT_QUEST_20;Magda è la Regina di Meroval. Eroi e malvagi sono meri strumenti per i suoi grandi piani.
LOADING_HINT_QUEST_25;Da miglia di distanza, i balli di Krog sono spesso confusi con tuoni distanti.
LOADING_HINT_QUEST_26;Tarum fu il primo seme piantato. Egli vide la nascita dei draghi e la caduta degli antichi dei.
LOADING_HINT_QUEST_29;Suggerimento: Il potere di Tarum si accresce col tempo. Sconfiggilo velocemente.
LOADING_HINT_QUEST_30;Hoaka inventa di continuo nuovi tabelloni su cui giocare.
LOADING_HINT_QUEST_48;Tra gli hobbies di Aurora vi è l'addestramento di futuri eroi e la degustazione di nuove varietà di tè.
LOADING_HINT_QUEST_49;Un prodigio dell'ordine Djidan, Khalim sfidò il suo maestro e prese parte a una guerra temporale.
LOADING_HINT_QUEST_54;Alcuni pesci vogliono solo vedere il mondo bruciare.
LOADING_HINT_QUEST_64;Il misterioso Jalmyr osserva il cosmo e fa da mentore agli dei.
LOADING_HINT_QUEST_117;Suggerimento: I tesori sono potenti carte che è possibile trovare in Pandora.
LOADING_HINT_QUEST_118;Fugoro viaggia per il mondo collezionando le più famose reliquie della storia.
LOADING_HINT_RANDOM_DEATHTOUCH_ONLY_IF_DAMAGE;Suggerimento: Tocco letale uccide una creatura se il danno viene inflitto. Protezione previene il danno.
LOADING_HINT_RANDOM_TIKIS_CAN_TARGET_THEMSELVES;Suggerimento: Il Custode Tiki e il Pifferaio Tiki possono bersagliare se stessi.
LOADING_HINT_RANDOM_FROGS_PLACED_ON_LAKES;Suggerimento: Le rane create da Rane da Battaglia possono essere evocate solo su laghi.
LOADING_HINT_RANDOM_HEAL_ORB_MAX_20;Suggerimento: Non puoi guarirti fino a più di 20 di vita.
LOADING_HINT_RANDOM_COMPLETE_SOLO_CONTENT;Suggerimento: Completare la modalità Missioni è il modo migliore per cominciare.
LOADING_HINT_RANDOM_RED_COLOR_EXPLAINED;Suggerimento: Il rosso è il colore del fuoco e della guerra.
LOADING_HINT_RANDOM_BLUE_COLOR_EXPLAINED;Suggerimento: Blu è il colore della trasformazione e dell'inganno.
LOADING_HINT_RANDOM_GREEN_COLOR_EXPLAINED;Suggerimento: Il verde è il colore della crescita e dei predatori selvaggi.
LOADING_HINT_RANDOM_YELLOW_COLOR_EXPLAINED;Suggerimento: Il giallo è il colore del vento e della velocità.
LOADING_HINT_RANDOM_CHARGE_CANT_PASS_THROUGH;Suggerimento: Non puoi caricare attraverso altre creature.
LOADING_HINT_RANDOM_BLOCK_AQUATIC_WITH_LANDS;Suggerimento: Crea terre per bloccare i nemici acquatici.
LOADING_HINT_RANDOM_DAILY_QUEST_1;Suggerimento: Il metodo più efficace per ottenere forzieri da battaglia è tornare ogni giorno e completare la tua missione giornaliera.
