WILD_ACT_01;;;;;
EXTENDED_AURORA_01;;;;;
EXTENDED_RAPALA_02;;OVERSKY_ACT_01;;;
EXTENDED_RUUNIN_03;;OVERSKY_ISLAND_01_MISSION01;;;
HOAKA_EPIC_02;;OVERSKY_ISLAND_01_MISSION02;;;
KROG_03;;OVERSKY_ISLAND_01_MISSION03;;;
EXTENDED_SEIFER_03;;OVERSKY_ISLAND_01_MISSION04;;;
EXTENDED_RUUNIN_05;;OVERSKY_ACT_02;;;
WILD_ACT_02;;OVERSKY_ISLAND_02_MISSION01;;;
EXTENDED_SHARRA_01;;OVERSKY_ISLAND_02_MISSION02;;;
EXTENDED_RUUNIN_01;;OVERSKY_ISLAND_02_MISSION03;;;
RUUNIN_02;;OVERSKY_ISLAND_02_MISSION04;;;
EXTENDED_KHALIM_01;;OVERSKY_ACT_03;;;
KHALIM_03;;OVERSKY_ISLAND_03_MISSION01;;;
RAPALA_EPIC_01;;OVERSKY_ISLAND_03_MISSION02;;;
EXTENDED_KHALIM_02;;OVERSKY_ISLAND_03_MISSION03;;;
WILD_ACT_03;;OVERSKY_ISLAND_03_MISSION04;;;
EXTENDED_HOAKA_01;;OVERSKY_ACT_04;;;
MAGDA_01;;OVERSKY_ISLAND_04_MISSION01;;;
EXTENDED_SHARRA_01;;OVERSKY_ISLAND_04_MISSION02;;;
EXTENDED_SEIFER_04;;OVERSKY_ISLAND_04_MISSION03;;;
EXTENDED_RAPALA_02;;OVERSKY_ISLAND_04_MISSION04;;;
FUGORO_EPIC_02;;OVERSKY_ACT_05;;;
EXTENDED_BLOODWELL_01;;OVERSKY_ISLAND_05_MISSION01;;;
WILD_ACT_04;;OVERSKY_ISLAND_05_MISSION02;;;
EXTENDED_SHARRA_02;;OVERSKY_ISLAND_05_MISSION03;;;
MAGDA_EPIC_02;;OVERSKY_ISLAND_05_MISSION04;;;
FUGORO_EPIC_01;;;;;
EXTENDED_RUUNIN_02;;;;;
KROG_EPIC_01;;;;;
AURORA_02;;BOSS_ACT_01;;;
EXTENDED_AURORA_03;;BOSS_KING_YAKNUS;;;
WILD_ACT_05;;BOSS_GREEN_GENIE;;;
EXTENDED_RAPALA_01;;BOSS_BLUE_YELLOW_SURVIVAL;;;
HOAKA_EPIC_02;;BOSS_YAKKAR;;;
EXTENDED_BLOODWELL_01;;BOSS_AZURE_GENIE;;;
EXTENDED_RAPALA_02;;BOSS_GREEN_RED_SURVIVAL;;;
EXTENDED_KHALIM_02;;BOSS_YELLOW_GENIE;;;
FUGORO_EPIC_02;;BOSS_CRIMSON_GENIE;;;
EXTENDED_AURORA_02;;BOSS_DARK_WISP;;;
WILD_ACT_06;;BOSS_FOUR_COLOR_01;;;
EXTENDED_RUUNIN_04;;BOSS_RAIZEON;;;
EXTENDED_SEIFER_03;;BOSS_JALMYR;;;
KHALIM_03;;;;;
EXTENDED_SHARRA_02;;BOSS_ACT_02;;;
SEIFER_EPIC_03;;LIMITED_BOSS_BATTLE;;;
EXTENDED_HOAKA_01;;;;;
EXTENDED_AURORA_02;;DRAGON_LAIR_ACT;;;
WILD_ACT_07;;DRAGON_1;;;
EXTENDED_KHALIM_01;;DRAGON_2;;;
EXTENDED_RUUNIN_03;;DRAGON_CO_OP;;;
EXTENDED_AURORA_03;;;;;
FUGORO_EPIC_03;;;;;
EXTENDED_SHARRA_01;;;;;
MAGDA_01;;;;;
EXTENDED_RUUNIN_01;;;;;
WILD_ACT_08;;;;;
EXTENDED_SEIFER_04;;;;;
SHARRA_03;;;;;
EXTENDED_AURORA_01;;;;;
EXTENDED_RUUNIN_02;;;;;
EXTENDED_RAPALA_01;;;;;
EXTENDED_AURORA_01;;;;;
HOAKA_EPIC_04;;;;;
WILD_ACT_09;;;;;
EXTENDED_BLOODWELL_01;;;;;
KHALIM_03;;;;;
KROG_EPIC_01;;;;;
EXTENDED_SEIFER_02;;;;;
EXTENDED_RAPALA_02;;;;;
RUUNIN_02;;;;;
EXTENDED_AURORA_03;;;;;
WILD_ACT_10;;;;;
EXTENDED_RUUNIN_02;;;;;
FUGORO_EPIC_03;;;;;
SEIFER_03;;;;;
RAPALA_EPIC_02;;;;;
EXTENDED_AURORA_01;;;;;
EXTENDED_SEIFER_02;;;;;
EXTENDED_KHALIM_01;;;;;
