LOADING_HINT_QUEST_0;Tip: Ganas {faeria|3} Faeria cada turno.
LOADING_HINT_QUEST_1;Tip: La Faeria no usada es guardadada para el próximo turno.
LOADING_HINT_QUEST_2;Ayuda: Las habilidades están explicadas en la parte superior de cada carta.
LOADING_HINT_QUEST_3;Ayuda: Construye tierras cerca del orbe de tu oponente.
LOADING_HINT_QUEST_4;Ayuda: Mata a las Briznas antes de que crezcan
LOADING_HINT_QUEST_5;Tip: Existen 4 colores en Faeria. Cada uno tiene su propio tipo de tierra.
LOADING_HINT_QUEST_6;Ayuda: Ruunin es el eterno antiguo guardián del bosque.
LOADING_HINT_QUEST_7;Ayuda: Las cartas rojas utilizan el poder de las montañas ardientes.
LOADING_HINT_QUEST_8;Seifer ha grabado su nombre a fuego sobre las cenizas de los reinos destruidos.
LOADING_HINT_QUEST_9;Tip: Las criaturas con salto pueden moverse hasta 2 espacios en cualquier dirección, saltando cualquier obstáculo en su camino.
LOADING_HINT_QUEST_10;Ayuda: Construye tierras para bloquear enemigos acuáticos.
LOADING_HINT_QUEST_11;Ayuda: Khalim es agresivo. Defiende cuidadosamente tu orbe.
LOADING_HINT_QUEST_13;Cuando ella era solo una niña, el miedo de Sharra se quemó con su pueblo.
LOADING_HINT_QUEST_20;Magda es la reina de Meroval. Heroes y villanos son simples herramientas para sus grandes planes.
LOADING_HINT_QUEST_25;A kilómetros de distancia, las fiestas de danza de Krog con frecuencia son confundidas por truenos distantes.
LOADING_HINT_QUEST_26;Tarum fue la primera semilla plantada. Él presenció el nacimiento de los dragones y la caida de los dioses antiguos.
LOADING_HINT_QUEST_29;Ayuda: el poder de Tarum crece con el tiempo. Derrótalo rápido.
LOADING_HINT_QUEST_30;Hoaka inventa constantemente nuevos tableros para jugar.
LOADING_HINT_QUEST_48;Entre las aficiones de Aurora se incluyen instruir a futuros héroes, guiar el curso de la historia y probar nuevos tipos de té.
LOADING_HINT_QUEST_49;Khalim, un prodigio de la orden Djidan, desafió a sus maestros y entró en la guerra del mundo.
LOADING_HINT_QUEST_54;Algunos peces solo quieren ver el mundo arder.
LOADING_HINT_QUEST_64;Jalmyr el misterioso cuida del cosmos y juega a ser el tutor de los dioses.
LOADING_HINT_QUEST_117;Ayuda: Los tesoros son cartas poderosas que normalmente se encuentran en Pandora.
LOADING_HINT_QUEST_118;Fugoro viaja por el mundo coleccionando la reliquias mas grandiosas de la historia.
LOADING_HINT_RANDOM_DEATHTOUCH_ONLY_IF_DAMAGE;Tip: La habilidad Toque Mortal solo mata a una criatura si le causa daño. La habilidad Protección absorbe el daño.
LOADING_HINT_RANDOM_TIKIS_CAN_TARGET_THEMSELVES;Tip: El Vigilante Tiki y el Flautista Tiki pueden seleccionarse a si mismos.
LOADING_HINT_RANDOM_FROGS_PLACED_ON_LAKES;Tip: Las ranas de la carta Sapos Guerreros solo pueden ser invocadas en lagos.
LOADING_HINT_RANDOM_HEAL_ORB_MAX_20;Ayuda: No puedes curarte por encima de 20 de vida.
LOADING_HINT_RANDOM_COMPLETE_SOLO_CONTENT;Ayuda: La mejor forma de comenzar a jugar es completando el modo individual.
LOADING_HINT_RANDOM_RED_COLOR_EXPLAINED;Tip: El rojo es el color del fuego y de la guerra.
LOADING_HINT_RANDOM_BLUE_COLOR_EXPLAINED;Ayuda: Azul es el color de la transformación y la astucia.
LOADING_HINT_RANDOM_GREEN_COLOR_EXPLAINED;Ayuda: Verde es el color del crecimiento y de los depredadores salvajes.
LOADING_HINT_RANDOM_YELLOW_COLOR_EXPLAINED;Tip: El Amarillo es el color del viento y la velocidad.
LOADING_HINT_RANDOM_CHARGE_CANT_PASS_THROUGH;Ayuda: No puedes cargar a través de otras criaturas.
LOADING_HINT_RANDOM_BLOCK_AQUATIC_WITH_LANDS;Ayuda: Construye tierras para bloquear enemigos acuáticos.
LOADING_HINT_RANDOM_DAILY_QUEST_1;Tip: La forma más efectiva de ganar cofres de batalla es volver cada día y completar tu misión diaria.
LOADING_HINT_RANDOM_THE_HUB;Sabías que: faeria.com/the-hub es nuestro sitio oficial donde los jugadores publican sus propias guías
LOADING_HINT_RANDOM_CARDBACK_FROM_SOLO;Ayuda: Completa todo el modo individual para obtener el dorso del dragón.
LOADING_HINT_RANDOM_PANDORA_ECONMY;Tip: Cuando Pandora despierta, todos los pozos de Faeria son destruidos, pero los jugadores obtendrán el doble de Faeria por turno.
LOADING_HINT_RANDOM_TAUNT_BEST_DEFENSE;Tip: Las criaturas con Provocar son generalmente la mejor forma de protegerte a ti mismo.
LOADING_HINT_RANDOM_BUILD_LANDS_EARLY_GAME;Tip: Construye tierras en el comienzo de la partida. Deja los botones de +1 carta y +1 faeria para más tarde.
LOADING_HINT_RANDOM_GIANT_LATEGAME_CREATURES_EXIST;Tip: Muchos mazos tienen un Finisher poderoso. Guarda eventos de eliminación para ello.
